indice,asignatura,calif_numerica,calif,cod_asig,cod_plan,conv,curso_aca,id,plan,universidad,cod_universidad
1,Álgebra,1.8,Suspenso,3012315ALG,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
2,Álgebra,5.2,Aprobado,3012315ALG,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
3,Informática Básica,2.6,Suspenso,3012315INF,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
4,Informática Básica,,No presentado,3012315INF,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
5,Informática Básica,,No presentado,3012315INF,ING-Informática,Enero,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
6,Informática Básica,8.2,Notable,3012315INF,ING-Informática,Enero,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
7,Cálculo,,No presentado,3012315CAL,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
8,Cálculo,,No presentado,3012315CAL,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
9,Cálculo,,No presentado,3012315CAL,ING-Informática,Enero,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
10,Cálculo,4.0,Suspenso,3012315CAL,ING-Informática,Julio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
11,Cálculo,3.3,Suspenso,3012315CAL,ING-Informática,Septiembre,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
12,Cálculo,,No presentado,3012315CAL,ING-Informática,Enero,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
13,Cálculo,5.8,Aprobado,3012315CAL,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
14,Cálculo,,No presentado,3012315CAL,ING-Informática,Enero,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
15,Fundamentos Físicos,6.0,Aprobado,3012315FIS,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
16,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
17,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
18,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Septiembre,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
19,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
20,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Julio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
21,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Septiembre,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
22,Algoritmos y Estructuras de Datos,4.3,Suspenso,3012315AED,ING-Informática,Junio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
23,Algoritmos y Estructuras de Datos,,No presentado,3012315AED,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
24,Algoritmos y Estructuras de Datos,0.1,Suspenso,3012315AED,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
25,Algoritmos y Estructuras de Datos,4.5,Suspenso,3012315AED,ING-Informática,Junio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
26,Algoritmos y Estructuras de Datos,3.3,Suspenso,3012315AED,ING-Informática,Julio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
27,Algoritmos y Estructuras de Datos,2.2,Suspenso,3012315AED,ING-Informática,Septiembre,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
28,Algoritmos y Estructuras de Datos,7.4,Notable,3012315AED,ING-Informática,Junio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
29,Principios de Computadores,,No presentado,3012315PRI,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
30,Principios de Computadores,,No presentado,3012315PRI,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
31,Principios de Computadores,,No presentado,3012315PRI,ING-Informática,Septiembre,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
32,Principios de Computadores,1.0,Suspenso,3012315PRI,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
33,Principios de Computadores,1.2,Suspenso,3012315PRI,ING-Informática,Julio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
34,Principios de Computadores,,No presentado,3012315PRI,ING-Informática,Septiembre,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
35,Principios de Computadores,7.0,Notable,3012315PRI,ING-Informática,Junio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
36,Optimización,,No presentado,3012315OPT,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
37,Optimización,,No presentado,3012315OPT,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
38,Optimización,3.2,Suspenso,3012315OPT,ING-Informática,Septiembre,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
39,Optimización,5.0,Aprobado,3012315OPT,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
40,Sistemas Electrónicos Digitales,,No presentado,3012315SED,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
41,Sistemas Electrónicos Digitales,,No presentado,3012315SED,ING-Informática,Julio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
42,Sistemas Electrónicos Digitales,6.2,Aprobado,3012315SED,ING-Informática,Septiembre,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
43,Expresión Gráfica,7.8,Notable,3012315EXP,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
44,Organizaciones Empresariales,5.8,Aprobado,3012315ORG,ING-Informática,Junio,2017/2018,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
45,Estructuras de Computadores,,No presentado,3012315EST,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
46,Estructuras de Computadores,,No presentado,3012315EST,ING-Informática,Julio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
47,Estructuras de Computadores,,No presentado,3012315EST,ING-Informática,Septiembre,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
48,Estructuras de Computadores,,No presentado,3012315EST,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
49,Estructuras de Computadores,5.1,Aprobado,3012315EST,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
50,Estructuras de Computadores,3.5,Suspenso,3012315EST,ING-Informática,Enero,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
51,Sistemas Operativos,,No presentado,3012315SIS,ING-Informática,Julio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
52,Sistemas Operativos,,No presentado,3012315SIS,ING-Informática,Septiembre,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
53,Sistemas Operativos,,No presentado,3012315SIS,ING-Informática,Enero,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
54,Sistemas Operativos,,No presentado,3012315SIS,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
55,Sistemas Operativos,,No presentado,3012315SIS,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
56,Sistemas Operativos,,No presentado,3012315SIS,ING-Informática,Enero,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
57,Sistemas Operativos,4.5,Suspenso,3012315SIS,ING-Informática,Julio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
58,Sistemas Operativos,1.5,Suspenso,3012315SIS,ING-Informática,Septiembre,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
59,Sistemas Operativos,4.5,Suspenso,3012315SIS,ING-Informática,Enero,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
60,Sistemas Operativos,6.0,Aprobado,3012315SIS,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
61,Inglés Técnico,7.6,Notable,3012315ING,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
62,Fundamentos de Ingeniería del Software,7.2,Notable,3012315FIS,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
63,Código Deontológico y Aspectos Legales,8.2,Notable,3012315COD,ING-Informática,Junio,2018/2019,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
64,Estadística,,No presentado,3012315EST,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
65,Estadística,,No presentado,3012315EST,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
66,Estadística,,No presentado,3012315EST,ING-Informática,Enero,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
67,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
68,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
69,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Enero,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
70,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Julio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
71,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Septiembre,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
72,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Enero,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
73,Computabilidad y Algoritmia,3.4,Suspenso,3012315COM,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
74,Computabilidad y Algoritmia,4.0,Suspenso,3012315COM,ING-Informática,Septiembre,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
75,Computabilidad y Algoritmia,4.5,Suspenso,3012315COM,ING-Informática,Julio,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
76,Computabilidad y Algoritmia,,No presentado,3012315COM,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
77,Computabilidad y Algoritmia,5.0,Aprobado,3012315COM,ING-Informática,Enero,2023/2024,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
78,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Junio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
79,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
80,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
81,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Junio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
82,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Julio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
83,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Septiembre,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
84,Algoritmos y Estructuras de Datos Avanzados,1.3,Suspenso,3568974ALA,ING-Informática,Junio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
85,Algoritmos y Estructuras de Datos Avanzados,,No presentado,3568974ALA,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
86,Algoritmos y Estructuras de Datos Avanzados,3.9,Suspenso,3568974ALA,ING-Informática,Septiembre,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
87,Algoritmos y Estructuras de Datos Avanzados,8.0,Notable,3568974ALA,ING-Informática,Mayo,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
88,Redes y Sistemas Distribuidos,4.5,Suspenso,3568974RED,ING-Informática,Junio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
89,Redes y Sistemas Distribuidos,8.1,Notable,3568974RED,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
90,Administración de Sistemas,1.7,Suspenso,3568974ADM,ING-Informática,Junio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
91,Administración de Sistemas,1.3,Suspenso,3568974ADM,ING-Informática,Julio,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
92,Administración de Sistemas,1.0,Suspenso,3568974ADM,ING-Informática,Septiembre,2019/2020,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
93,Administración de Sistemas,3.6,Suspenso,3568974ADM,ING-Informática,Junio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
94,Administración de Sistemas,7.1,Notable,3568974ADM,ING-Informática,Julio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
95,Bases de Datos,5.0,Aprobado,3568974BDA,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
96,Inteligencia Artificial,,No presentado,3568974INT,ING-Informática,Junio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
97,Inteligencia Artificial,5.7,Aprobado,3568974INT,ING-Informática,Septiembre,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
